date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,DayMonth
2010-01-01,26.0,32.2,28.8,75.0,0.0,3.4,5.0,250.0,4.0,W ,96741,01-01
2010-01-02,27.0,33.0,28.3,71.0,19.1,5.9,5.0,270.0,3.0,W ,96741,02-01
2010-01-03,25.0,33.0,29.1,74.0,0.0,3.0,8.0,260.0,4.0,W ,96741,03-01
2010-01-04,27.0,35.0,30.1,69.0,0.0,8.0,8.0,270.0,7.0,W ,96741,04-01
2010-01-05,27.0,34.0,29.1,70.0,0.1,2.0,8.0,260.0,6.0,W ,96741,05-01
2010-01-06,26.0,33.8,29.4,71.0,0.0,5.2,5.0,230.0,4.0,W ,96741,06-01
2010-01-07,26.0,33.4,28.5,72.0,1.0,5.6,5.0,270.0,3.0,SW,96741,07-01
2010-01-08,26.0,29.2,27.1,86.0,4.9,0.1,5.0,350.0,2.0,W ,96741,08-01
2010-01-09,25.0,30.0,27.2,84.0,54.4,0.0,8.0,270.0,2.0,W ,96741,09-01
2010-01-10,23.0,30.6,27.0,85.0,,1.8,6.0,360.0,2.0,W ,96741,10-01
2010-01-11,25.0,31.6,28.0,84.0,9.2,2.1,7.0,270.0,4.0,SW,96741,11-01
2010-01-12,25.0,29.9,27.3,84.0,0.9,0.0,5.0,220.0,4.0,W ,96741,12-01
2010-01-13,25.0,29.4,27.0,83.0,25.5,0.0,8.0,270.0,5.0,SW,96741,13-01
2010-01-14,24.0,29.5,25.9,80.0,69.6,3.5,8.0,260.0,3.0,W ,96741,14-01
2010-01-15,23.0,29.0,25.3,86.0,41.5,1.0,4.0,270.0,3.0,W ,96741,15-01
2010-01-16,23.0,28.4,26.0,89.0,32.8,0.0,8.0,280.0,5.0,W ,96741,16-01
2010-01-17,25.0,28.4,25.8,91.0,60.9,0.0,8.0,270.0,4.0,W ,96741,17-01
2010-01-18,25.0,31.1,27.6,84.0,75.2,4.0,4.0,260.0,3.0,W ,96741,18-01
2010-01-19,23.0,29.4,26.2,90.0,1.4,1.2,4.0,290.0,3.0,W ,96741,19-01
2010-01-20,24.0,28.4,26.3,88.0,11.3,0.0,4.0,240.0,2.0,SW,96741,20-01
2010-01-21,26.0,32.0,28.3,78.0,82.4,3.2,6.0,200.0,3.0,W ,96741,21-01
2010-01-22,24.0,34.4,27.0,83.0,0.0,6.7,7.0,260.0,4.0,SW,96741,22-01
2010-01-23,26.0,31.6,28.1,83.0,0.0,3.5,8.0,270.0,2.0,W ,96741,23-01
2010-01-24,26.0,31.9,28.4,79.0,0.0,7.7,4.0,320.0,2.0,SW,96741,24-01
2010-01-25,26.0,31.0,28.2,80.0,23.7,2.7,8.0,250.0,3.0,W ,96741,25-01
2010-01-26,25.0,30.1,27.2,88.0,11.1,1.2,8.0,250.0,2.0,W ,96741,26-01
2010-01-27,25.0,33.0,27.8,81.0,7.8,8.0,5.0,300.0,2.0,W ,96741,27-01
2010-01-28,26.0,31.8,28.5,82.0,0.0,7.6,5.0,300.0,4.0,W ,96741,28-01
2010-01-29,26.0,32.4,28.7,80.0,4.6,7.0,5.0,290.0,3.0,W ,96741,29-01
2010-01-30,27.0,32.3,28.8,81.0,28.0,7.2,4.0,290.0,3.0,W ,96741,30-01
2010-01-31,24.0,29.6,26.6,86.0,6.5,1.0,5.0,300.0,2.0,W ,96741,31-01
2010-02-01,24.0,31.8,27.2,84.0,0.0,5.1,4.0,270.0,2.0,W ,96741,01-02
2010-02-02,24.0,31.4,27.2,83.0,16.5,1.5,4.0,280.0,3.0,W ,96741,02-02
2010-02-03,25.0,32.1,28.4,78.0,0.0,5.8,4.0,300.0,2.0,SW,96741,03-02
2010-02-04,24.0,32.4,27.6,82.0,7.1,8.0,18.0,200.0,3.0,S ,96741,04-02
2010-02-05,25.0,31.5,28.7,79.0,2.6,5.8,4.0,250.0,2.0,W ,96741,05-02
2010-02-06,25.0,30.4,27.4,80.0,48.0,4.2,5.0,300.0,1.0,NW,96741,06-02
2010-02-07,25.0,32.0,28.1,78.0,0.0,8.0,4.0,150.0,2.0,N ,96741,07-02
2010-02-08,25.0,31.4,28.3,80.0,0.0,7.0,3.0,280.0,2.0,W ,96741,08-02
2010-02-09,26.0,33.0,29.3,75.0,28.7,8.0,5.0,30.0,3.0,N ,96741,09-02
2010-02-10,26.0,34.0,29.1,76.0,3.1,8.0,5.0,100.0,3.0,S ,96741,10-02
2010-02-11,26.0,32.1,28.6,79.0,5.5,8.0,3.0,30.0,1.0,NE,96741,11-02
2010-02-12,26.0,32.2,28.9,79.0,70.4,6.0,5.0,30.0,3.0,N ,96741,12-02
2010-02-13,26.0,26.8,25.6,96.0,2.8,0.0,2.0,190.0,0.0,S ,96741,13-02
2010-02-14,24.0,30.0,26.8,86.0,0.0,1.0,4.0,240.0,2.0,W ,96741,14-02
2010-02-15,25.0,32.8,28.0,78.0,0.0,7.7,5.0,300.0,3.0,N ,96741,15-02
2010-02-16,25.0,32.8,28.9,77.0,5.3,8.0,4.0,290.0,3.0,S ,96741,16-02
2010-02-17,26.0,32.6,28.6,78.0,88.3,7.8,5.0,270.0,2.0,W ,96741,17-02
2010-02-18,26.0,26.6,28.0,84.0,3.7,4.5,7.0,250.0,4.0,W ,96741,18-02
2010-02-19,24.0,30.6,26.5,87.0,46.0,0.3,4.0,290.0,2.0,W ,96741,19-02
2010-02-20,25.0,31.6,26.9,86.0,19.2,3.0,5.0,270.0,2.0,SW,96741,20-02
2010-02-21,25.0,32.2,28.0,83.0,0.0,8.0,4.0,210.0,3.0,SW,96741,21-02
2010-02-22,26.0,31.4,28.2,80.0,1.7,5.0,4.0,240.0,3.0,W ,96741,22-02
2010-02-23,27.0,31.9,28.9,77.0,2.0,4.0,4.0,260.0,2.0,SW,96741,23-02
2010-02-24,27.0,31.8,27.8,84.0,2.0,3.5,3.0,40.0,2.0,N ,96741,24-02
2010-02-25,26.0,30.4,27.4,84.0,0.0,0.7,4.0,340.0,2.0,N ,96741,25-02
2010-02-26,25.0,33.5,28.7,78.0,0.0,8.0,3.0,30.0,1.0,N ,96741,26-02
2010-02-27,26.0,33.3,29.9,74.0,0.0,8.0,4.0,360.0,2.0,W ,96741,27-02
2010-02-28,27.0,33.6,29.7,74.0,0.0,4.5,4.0,340.0,2.0,N ,96741,28-02
2010-03-01,27.0,33.1,28.0,82.0,52.9,4.6,3.0,240.0,1.0,SW,96741,01-03
2010-03-02,25.0,33.2,28.9,79.0,0.0,8.0,6.0,240.0,2.0,W ,96741,02-03
2010-03-03,26.0,33.4,29.1,74.0,0.0,7.8,3.0,270.0,2.0,NW,96741,03-03
2010-03-04,27.0,33.0,29.4,74.0,0.0,7.8,4.0,240.0,3.0,SW,96741,04-03
2010-03-05,27.0,30.0,27.5,86.0,10.5,0.0,3.0,80.0,1.0,E ,96741,05-03
2010-03-06,26.0,32.4,28.4,81.0,0.0,7.5,4.0,300.0,2.0,NW,96741,06-03
2010-03-07,27.0,33.1,29.5,75.0,0.0,8.0,4.0,340.0,1.0,W ,96741,07-03
2010-03-08,24.0,32.2,29.2,74.0,0.0,5.8,4.0,230.0,3.0,SW,96741,08-03
2010-03-09,26.0,33.0,29.2,76.0,3.6,4.5,4.0,330.0,2.0,W ,96741,09-03
2010-03-10,26.0,31.4,28.1,79.0,5.9,0.0,5.0,270.0,3.0,W ,96741,10-03
2010-03-11,26.0,30.8,27.7,80.0,30.7,4.1,5.0,270.0,3.0,W ,96741,11-03
2010-03-12,25.0,31.8,28.0,80.0,0.0,6.2,4.0,290.0,2.0,NW,96741,12-03
2010-03-13,25.0,32.1,29.1,75.0,0.0,8.0,3.0,30.0,2.0,NE,96741,13-03
2010-03-14,27.0,32.8,29.3,74.0,0.0,8.0,5.0,20.0,2.0,NE,96741,14-03
2010-03-15,27.0,32.8,29.2,72.0,0.0,7.4,3.0,10.0,2.0,N ,96741,15-03
2010-03-16,26.0,32.8,28.9,77.0,2.6,4.6,5.0,200.0,2.0,S ,96741,16-03
2010-03-17,26.0,31.0,27.4,82.0,0.6,3.4,5.0,270.0,3.0,W ,96741,17-03
2010-03-18,26.0,32.4,28.8,76.0,0.0,7.8,4.0,290.0,2.0,W ,96741,18-03
2010-03-19,27.0,32.0,28.7,78.0,0.0,4.0,4.0,230.0,2.0,N ,96741,19-03
2010-03-20,27.0,33.0,29.3,73.0,,7.4,5.0,310.0,2.0,W ,96741,20-03
2010-03-21,27.0,32.2,29.3,77.0,0.0,3.4,5.0,290.0,3.0,W ,96741,21-03
2010-03-22,27.0,34.2,30.0,77.0,0.0,8.0,8.0,270.0,3.0,W ,96741,22-03
2010-03-23,27.0,32.8,29.2,75.0,0.0,6.2,5.0,360.0,3.0,S ,96741,23-03
2010-03-24,27.0,33.6,29.5,74.0,0.0,7.8,5.0,360.0,3.0,NW,96741,24-03
2010-03-25,27.0,33.1,29.9,72.0,22.6,8.0,3.0,30.0,2.0,W ,96741,25-03
